"id","name","code","bin","shortName"
"17","Ngân hàng TMCP Công thương Việt Nam","ICB","970415","VietinBank"
"43","Ngân hàng TMCP Ngoại Thương Việt Nam","VCB","970436","Vietcombank"
"4","Ngân hàng TMCP Đầu tư và Phát triển Việt Nam","BIDV","970418","BIDV"
"42","Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam","VBA","970405","Agribank"
"26","Ngân hàng TMCP Phương Đông","OCB","970448","OCB"
"21","Ngân hàng TMCP Quân đội","MB","970422","MBBank"
"38","Ngân hàng TMCP Kỹ thương Việt Nam","TCB","970407","Techcombank"
"2","Ngân hàng TMCP Á Châu","ACB","970416","ACB"
"47","Ngân hàng TMCP Việt Nam Thịnh Vượng","VPB","970432","VPBank"
"39","Ngân hàng TMCP Tiên Phong","TPB","970423","TPBank"
"36","Ngân hàng TMCP Sài Gòn Thương Tín","STB","970403","Sacombank"
"12","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh","HDB","970437","HDBank"
"44","Ngân hàng TMCP Bản Việt","VCCB","970454","VietCapitalBank"
"31","Ngân hàng TMCP Sài Gòn","SCB","970429","SCB"
"45","Ngân hàng TMCP Quốc tế Việt Nam","VIB","970441","VIB"
"35","Ngân hàng TMCP Sài Gòn - Hà Nội","SHB","970443","SHB"
"10","Ngân hàng TMCP Xuất Nhập khẩu Việt Nam","EIB","970431","Eximbank"
"22","Ngân hàng TMCP Hàng Hải Việt Nam","MSB","970426","MSB"
"53","TMCP Việt Nam Thịnh Vượng - Ngân hàng số CAKE by VPBank","CAKE","546034","CAKE"
"54","TMCP Việt Nam Thịnh Vượng - Ngân hàng số Ubank by VPBank","Ubank","546035","Ubank"
"57","Tổng Công ty Dịch vụ số Viettel - Chi nhánh tập đoàn công nghiệp viễn thông Quân Đội","VTLMONEY","971005","ViettelMoney"
"58","Ngân hàng số Timo by Ban Viet Bank (Timo by Ban Viet Bank)","TIMO","963388","Timo"
"56","VNPT Money","VNPTMONEY","971011","VNPTMoney"
"34","Ngân hàng TMCP Sài Gòn Công Thương","SGICB","970400","SaigonBank"
"3","Ngân hàng TMCP Bắc Á","BAB","970409","BacABank"
"64","Ngân hàng TMCP Đại Chúng Việt Nam Ngân hàng số","PVDB","971133","PVcomBank Pay"
"30","Ngân hàng TMCP Đại Chúng Việt Nam","PVCB","970412","PVcomBank"
"27","Ngân hàng TNHH MTV Việt Nam Hiện Đại","MBV","970414","MBV"
"24","Ngân hàng TMCP Quốc Dân","NCB","970419","NCB"
"37","Ngân hàng TNHH MTV Shinhan Việt Nam","SHBVN","970424","ShinhanBank"
"1","Ngân hàng TMCP An Bình","ABB","970425","ABBANK"
"41","Ngân hàng TMCP Việt Á","VAB","970427","VietABank"
"23","Ngân hàng TMCP Nam Á","NAB","970428","NamABank"
"29","Ngân hàng TMCP Thịnh vượng và Phát triển","PGB","970430","PGBank"
"46","Ngân hàng TMCP Việt Nam Thương Tín","VIETBANK","970433","VietBank"
"5","Ngân hàng TMCP Bảo Việt","BVB","970438","BaoVietBank"
"33","Ngân hàng TMCP Đông Nam Á","SEAB","970440","SeABank"
"52","Ngân hàng Hợp tác xã Việt Nam","COOPBANK","970446","COOPBANK"
"20","Ngân hàng TMCP Lộc Phát Việt Nam","LPB","970449","LPBank"
"19","Ngân hàng TMCP Kiên Long","KLB","970452","KienLongBank"
"55","Ngân hàng Đại chúng TNHH Kasikornbank","KBank","668888","KBank"
"62","Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam) ","MAFC","977777","MAFC"
"61","Ngân hàng KEB Hana – Chi nhánh Hà Nội","KEBHANAHN","970467","KEBHANAHN"
"60","Ngân hàng KEB Hana – Chi nhánh Thành phố Hồ Chí Minh","KEBHANAHCM","970466","KEBHanaHCM"
"59","Ngân hàng Citibank, N.A. - Chi nhánh Hà Nội","CITIBANK","533948","Citibank"
"63","Ngân hàng Chính sách Xã hội","VBSP","999888","VBSP"
"6","Ngân hàng Thương mại TNHH MTV Xây dựng Việt Nam","CBB","970444","CBBank"
"7","Ngân hàng TNHH MTV CIMB Việt Nam","CIMB","422589","CIMB"
"8","DBS Bank Ltd - Chi nhánh Thành phố Hồ Chí Minh","DBS","796500","DBSBank"
"9","Ngân hàng TNHH MTV Số Vikki","Vikki","970406","Vikki"
"28","Ngân hàng TNHH MTV Public Việt Nam","PBVN","970439","PublicBank"
"51","Ngân hàng Kookmin - Chi nhánh Thành phố Hồ Chí Minh","KBHCM","970463","KookminHCM"
"50","Ngân hàng Kookmin - Chi nhánh Hà Nội","KBHN","970462","KookminHN"
"49","Ngân hàng TNHH MTV Woori Việt Nam","WVN","970457","Woori"
"48","Ngân hàng Liên doanh Việt - Nga","VRB","970421","VRB"
"11","Ngân hàng Thương mại TNHH MTV Dầu Khí Toàn Cầu","GPB","970408","GPBank"
"13","Ngân hàng TNHH MTV Hong Leong Việt Nam","HLBVN","970442","HongLeong"
"14","Ngân hàng TNHH MTV HSBC (Việt Nam)","HSBC","458761","HSBC"
"15","Ngân hàng Công nghiệp Hàn Quốc - Chi nhánh Hà Nội","IBK - HN","970455","IBKHN"
"16","Ngân hàng Công nghiệp Hàn Quốc - Chi nhánh TP. Hồ Chí Minh","IBK - HCM","970456","IBKHCM"
"25","Ngân hàng Nonghyup - Chi nhánh Hà Nội","NHB HN","801011","Nonghyup"
"40","Ngân hàng United Overseas - Chi nhánh TP. Hồ Chí Minh","UOB","970458","UnitedOverseas"
"18","Ngân hàng TNHH Indovina","IVB","970434","IndovinaBank"
"32","Ngân hàng TNHH MTV Standard Chartered Bank Việt Nam","SCVN","970410","StandardChartered"
